trip_id,start_time,end_time,has_shape,color
A20161106SAT_079400_GS.S01R,47640,47730,True,6D6E71
A20161106SAT_080000_GS.N01R,48000,48090,True,6D6E71
A20161106SAT_080400_GS.S01R,48240,48330,True,6D6E71
A20161106SAT_081000_GS.N01R,48600,48690,True,6D6E71
A20161106SAT_081400_GS.S01R,48840,48930,True,6D6E71
A20161106SAT_082000_GS.N01R,49200,49290,True,6D6E71
A20161106SAT_082400_GS.S01R,49440,49530,True,6D6E71
A20161106SAT_083000_GS.N01R,49800,49890,True,6D6E71
A20161106SAT_083400_GS.S01R,50040,50130,True,6D6E71
A20161106SAT_084000_GS.N01R,50400,50490,True,6D6E71
A20161106SAT_084400_GS.S01R,50640,50730,True,6D6E71
A20161106SAT_085000_GS.N01R,51000,51090,True,6D6E71
A20161106SAT_085400_GS.S01R,51240,51330,True,6D6E71
A20161106SAT_086000_GS.N01R,51600,51690,True,6D6E71
A20161106SAT_086400_GS.S01R,51840,51930,True,6D6E71
A20161106SAT_087000_GS.N01R,52200,52290,True,6D6E71
A20161106SAT_087400_GS.S01R,52440,52530,True,6D6E71
A20161106SAT_088000_GS.N01R,52800,52890,True,6D6E71
A20161106SAT_088400_GS.S01R,53040,53130,True,6D6E71
A20161106SAT_089000_GS.N01R,53400,53490,True,6D6E71
A20161106SAT_089400_GS.S01R,53640,53730,True,6D6E71
A20161106SAT_090000_GS.N01R,54000,54090,True,6D6E71
A20161106SAT_090400_GS.S01R,54240,54330,True,6D6E71
A20161106SAT_091000_GS.N01R,54600,54690,True,6D6E71
A20161106SAT_091400_GS.S01R,54840,54930,True,6D6E71
A20161106SAT_092000_GS.N01R,55200,55290,True,6D6E71
A20161106SAT_092400_GS.S01R,55440,55530,True,6D6E71
A20161106SAT_093000_GS.N01R,55800,55890,True,6D6E71
A20161106SAT_093400_GS.S01R,56040,56130,True,6D6E71
A20161106SAT_094000_GS.N01R,56400,56490,True,6D6E71
A20161106SAT_094400_GS.S01R,56640,56730,True,6D6E71
A20161106SAT_095000_GS.N01R,57000,57090,True,6D6E71
A20161106SAT_095400_GS.S01R,57240,57330,True,6D6E71
A20161106SAT_096000_GS.N01R,57600,57690,True,6D6E71
A20161106SAT_096400_GS.S01R,57840,57930,True,6D6E71
A20161106SAT_097000_GS.N01R,58200,58290,True,6D6E71
A20161106SAT_097400_GS.S01R,58440,58530,True,6D6E71
A20161106SAT_098000_GS.N01R,58800,58890,True,6D6E71
A20161106SAT_098400_GS.S01R,59040,59130,True,6D6E71
A20161106SAT_099000_GS.N01R,59400,59490,True,6D6E71
A20161106SAT_099400_GS.S01R,59640,59730,True,6D6E71
A20161106SAT_100000_GS.N01R,60000,60090,True,6D6E71
A20161106SAT_100400_GS.S01R,60240,60330,True,6D6E71
A20161106SAT_101000_GS.N01R,60600,60690,True,6D6E71
A20161106SAT_101400_GS.S01R,60840,60930,True,6D6E71
A20161106SAT_102000_GS.N01R,61200,61290,True,6D6E71
A20161106SAT_102400_GS.S01R,61440,61530,True,6D6E71
A20161106SAT_103000_GS.N01R,61800,61890,True,6D6E71
A20161106SAT_103400_GS.S01R,62040,62130,True,6D6E71
A20161106SAT_104000_GS.N01R,62400,62490,True,6D6E71
A20161106SAT_104400_GS.S01R,62640,62730,True,6D6E71
A20161106SAT_105000_GS.N01R,63000,63090,True,6D6E71
